title,ingredients,directions,NER
No-Bake Nut Cookies,"[""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]","[""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]","[""bite size shredded rice biscuits"", ""vanilla"", ""brown sugar"", ""nuts"", ""milk"", ""butter""]"
Jewell Ball'S Chicken,"[""1 small jar chipped beef, cut up"", ""4 boned chicken breasts"", ""1 can cream of mushroom soup"", ""1 carton sour cream""]","[""Place chipped beef on bottom of baking dish."", ""Place chicken on top of beef."", ""Mix soup and cream together; pour over chicken. Bake, uncovered, at 275\u00b0 for 3 hours.""]","[""cream of mushroom soup"", ""beef"", ""sour cream"", ""chicken breasts""]"
Creamy Corn,"[""2 (16 oz.) pkg. frozen corn"", ""1 (8 oz.) pkg. cream cheese, cubed"", ""1/3 c. butter, cubed"", ""1/2 tsp. garlic powder"", ""1/2 tsp. salt"", ""1/4 tsp. pepper""]","[""In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings.""]","[""frozen corn"", ""pepper"", ""cream cheese"", ""garlic powder"", ""butter"", ""salt""]"
Chicken Funny,"[""1 large whole chicken"", ""2 (10 1/2 oz.) cans chicken gravy"", ""1 (10 1/2 oz.) can cream of mushroom soup"", ""1 (6 oz.) box Stove Top stuffing"", ""4 oz. shredded cheese""]","[""Boil and debone chicken."", ""Put bite size pieces in average size square casserole dish."", ""Pour gravy and cream of mushroom soup over chicken; level."", ""Make stuffing according to instructions on box (do not make too moist)."", ""Put stuffing on top of chicken and gravy; level."", ""Sprinkle shredded cheese on top and bake at 350\u00b0 for approximately 20 minutes or until golden and bubbly.""]","[""chicken gravy"", ""cream of mushroom soup"", ""chicken"", ""shredded cheese""]"
Reeses Cups(Candy)  ,"[""1 c. peanut butter"", ""3/4 c. graham cracker crumbs"", ""1 c. melted butter"", ""1 lb. (3 1/2 c.) powdered sugar"", ""1 large pkg. chocolate chips""]","[""Combine first four ingredients and press in 13 x 9-inch ungreased pan."", ""Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard."", ""Keep in refrigerator.""]","[""graham cracker crumbs"", ""powdered sugar"", ""peanut butter"", ""chocolate chips"", ""butter""]"
Cheeseburger Potato Soup,"[""6 baking potatoes"", ""1 lb. of extra lean ground beef"", ""2/3 c. butter or margarine"", ""6 c. milk"", ""3/4 tsp. salt"", ""1/2 tsp. pepper"", ""1 1/2 c (6 oz.) shredded Cheddar cheese, divided"", ""12 sliced bacon, cooked, crumbled and divided"", ""4 green onion, chopped and divided"", ""1 (8 oz.) carton sour cream (optional)""]","[""Wash potatoes; prick several times with a fork."", ""Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes."", ""The potatoes should be soft, ready to eat."", ""Let them cool enough to handle."", ""Cut in half lengthwise; scoop out pulp and reserve."", ""Discard shells."", ""Brown ground beef until done."", ""Drain any grease from the meat."", ""Set aside when done."", ""Meat will be added later."", ""Melt butter in a large kettle over low heat; add flour, stirring until smooth."", ""Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly."", ""Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon."", ""Cook until heated (do not boil)."", ""Stir in sour cream if desired; cook until heated (do not boil)."", ""Sprinkle with remaining cheese, bacon and green onions.""]","[""sour cream"", ""bacon"", ""pepper"", ""extra lean ground beef"", ""cheddar cheese"", ""green onion"", ""baking potatoes"", ""milk"", ""butter"", ""salt""]"
Rhubarb Coffee Cake,"[""1 1/2 c. sugar"", ""1/2 c. butter"", ""1 egg"", ""1 c. buttermilk"", ""2 c. flour"", ""1/2 tsp. salt"", ""1 tsp. soda"", ""1 c. buttermilk"", ""2 c. rhubarb, finely cut"", ""1 tsp. vanilla""]","[""Cream sugar and butter."", ""Add egg and beat well."", ""To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda."", ""Mix well."", ""Add rhubarb and vanilla."", ""Pour into greased 9 x 13-inch pan and add Topping.""]","[""buttermilk"", ""egg"", ""sugar"", ""vanilla"", ""soda"", ""flour"", ""rhubarb"", ""butter"", ""salt""]"
Scalloped Corn,"[""1 can cream-style corn"", ""1 can whole kernel corn"", ""1/2 pkg. (approximately 20) saltine crackers, crushed"", ""1 egg, beaten"", ""6 tsp. butter, divided"", ""pepper to taste""]","[""Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish."", ""Dot with remaining 4 teaspoons of butter."", ""Bake at 350\u00b0 for 1 hour.""]","[""egg"", ""pepper"", ""crackers"", ""cream-style corn"", ""whole kernel corn"", ""butter""]"
Nolan'S Pepper Steak,"[""1 1/2 lb. round steak (1-inch thick), cut into strips"", ""1 can drained tomatoes, cut up (save liquid)"", ""1 3/4 c. water"", ""1/2 c. onions"", ""1 1/2 Tbsp. Worcestershire sauce"", ""2 green peppers, diced"", ""1/4 c. oil""]","[""Roll steak strips in flour."", ""Brown in skillet."", ""Salt and pepper."", ""Combine tomato liquid, water, onions and browned steak. Cover and simmer for one and a quarter hours."", ""Uncover and stir in Worcestershire sauce."", ""Add tomatoes, green peppers and simmer for 5 minutes."", ""Serve over hot cooked rice.""]","[""oil"", ""tomatoes"", ""green peppers"", ""water"", ""onions"", ""worcestershire sauce""]"
Millionaire Pie,"[""1 large container Cool Whip"", ""1 large can crushed pineapple"", ""1 can condensed milk"", ""3 lemons"", ""1 c. pecans"", ""2 graham cracker crusts""]","[""Empty Cool Whip into a bowl."", ""Drain juice from pineapple."", ""Mix Cool Whip and pineapple."", ""Add condensed milk."", ""Squeeze lemons, remove seeds and add to Cool Whip and pineapple."", ""Chop nuts into small pieces and add to mixture."", ""Stir all ingredients together and mix well."", ""Pour into a graham cracker crust."", ""Use top from crust to cover top of pie."", ""Chill overnight."", ""Makes 2 pies.""]","[""condensed milk"", ""lemons"", ""graham cracker crusts"", ""pecans"", ""pineapple""]"
Double Cherry Delight,"[""1 (17 oz.) can dark sweet pitted cherries"", ""1/2 c. ginger ale"", ""1 (6 oz.) pkg. Jell-O cherry flavor gelatin"", ""2 c. boiling water"", ""1/8 tsp. almond extract"", ""1 c. miniature marshmallows""]","[""Drain cherries, measuring syrup."", ""Cut cherries in half."", ""Add ginger ale and enough water to syrup to make 1 1/2 cups."", ""Dissolve gelatin in boiling water."", ""Add measured liquid and almond extract. Chill until very thick."", ""Fold in marshmallows and the cherries. Spoon into 6-cup mold."", ""Chill until firm, at least 4 hours or overnight."", ""Unmold."", ""Makes about 5 1/3 cups.""]","[""flavor gelatin"", ""dark sweet pitted cherries"", ""marshmallows"", ""ginger ale"", ""almond extract"", ""boiling water""]"
Buckeye Candy,"[""1 box powdered sugar"", ""8 oz. soft butter"", ""1 (8 oz.) peanut butter"", ""paraffin"", ""12 oz. chocolate chips""]","[""Mix sugar, butter and peanut butter."", ""Roll into balls and place on cookie sheet."", ""Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler."", ""Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.""]","[""paraffin"", ""powdered sugar"", ""peanut butter"", ""chocolate chips"", ""butter""]"
Quick Barbecue Wings,"[""chicken wings (as many as you need for dinner)"", ""flour"", ""barbecue sauce (your choice)""]","[""Clean wings."", ""Flour and fry until done."", ""Place fried chicken wings in microwave bowl."", ""Stir in barbecue sauce."", ""Microwave on High (stir once) for 4 minutes.""]","[""flour"", ""chicken"", ""barbecue sauce""]"
Taco Salad Chip Dip,"[""8 oz. Ortega taco sauce"", ""8 oz. sour cream"", ""8 oz. cream cheese"", ""1 lb. ground beef"", ""1 pkg. taco seasoning"", ""shredded lettuce"", ""1 large diced tomato"", ""1 medium diced onion"", ""1 large diced green pepper"", ""shredded Colby or Cheddar cheese""]","[""Mix taco sauce, sour cream and cream cheese."", ""Spread on pizza pan."", ""Brown meat."", ""Drain off fat and add taco seasoning."", ""Spread over cream mixture."", ""Layer with raw vegetables."", ""Top with cheese. Serve with chips.""]","[""sour cream"", ""tomato"", ""shredded lettuce"", ""cheddar cheese"", ""onion"", ""cream cheese"", ""taco sauce"", ""taco seasoning"", ""ground beef"", ""green pepper""]"
Pink Stuff(Frozen Dessert)  ,"[""1 can pie filling (cherry or strawberry)"", ""1 can crushed pineapple, drained"", ""1 can sweetened condensed milk"", ""1 (8 oz.) container thawed whipped topping"", ""2 Tbsp. lemon juice""]","[""Mix all ingredients together."", ""Pour into a 9 x 13-inch pan. Freeze until firm."", ""Allow to set out approximately 15 minutes before serving.""]","[""condensed milk"", ""pie filling"", ""pineapple"", ""lemon juice""]"
Fresh Strawberry Pie,"[""1 baked pie shell"", ""1 qt. cleaned strawberries"", ""1 1/2 c. water"", ""4 Tbsp. cornstarch"", ""1 c. sugar"", ""1/8 tsp. salt"", ""4 Tbsp. strawberry jello""]","[""Mix water, cornstarch, sugar and salt in saucepan."", ""Stir constantly and boil until thick and clear."", ""Remove from heat and stir in jello."", ""Set aside to cool."", ""But don't allow it to set. Layer strawberries in baked crust."", ""Pour cooled glaze over. Continue layering berries and glaze."", ""Refrigerate."", ""Serve with whipped cream.""]","[""sugar"", ""shell"", ""water"", ""cleaned strawberries"", ""cornstarch"", ""strawberry jello"", ""salt""]"
Easy German Chocolate Cake,"[""1/2 pkg. chocolate fudge cake mix without pudding or 1 Jiffy mix"", ""1/2 pkg. white cake mix without pudding or 1 Jiffy mix"", ""1/4 c. Wesson oil""]","[""Mix according to directions and add oil."", ""Bake in 9 x 13-inch pan.""]","[""chocolate fudge cake"", ""white cake"", ""wesson oil""]"
Broccoli Salad,"[""1 large head broccoli (about 1 1/2 lb.)"", ""10 slices bacon, cooked and crumbled"", ""5 green onions, sliced or 1/4 c. chopped red onion"", ""1/2 c. raisins"", ""1 c. mayonnaise"", ""2 Tbsp. vinegar"", ""1/4 c. sugar""]","[""Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.""]","[""bacon"", ""vinegar"", ""sugar"", ""green onions"", ""raisins"", ""mayonnaise"", ""broccoli""]"
Strawberry Whatever,"[""1 lb. frozen strawberries in juice"", ""1 small can crushed pineapple"", ""3 ripe bananas"", ""1 c. chopped pecans"", ""1 large pkg. strawberry Jell-O"", ""1 1/2 c. boiling water"", ""1 pt. sour cream""]","[""Mix Jell-O in boiling water."", ""Add strawberries, pineapple, crushed bananas and nuts."", ""Spread 1/2 mixture in 13 x 6 1/2-inch pan."", ""Allow to gel in freezer 30 minutes."", ""Add layer of sour cream, then remaining mixture on top."", ""Gel and serve.""]","[""sour cream"", ""frozen strawberries"", ""strawberry"", ""pecans"", ""bananas"", ""boiling water"", ""pineapple""]"
Eggless Milkless Applesauce Cake,"[""3/4 c. sugar"", ""1/2 c. shortening"", ""1 1/2 c. applesauce"", ""3 level tsp. soda"", ""1 tsp. each: cinnamon, cloves and nutmeg"", ""2 c. sifted flour"", ""1 c. raisins"", ""1 c. nuts""]","[""Mix Crisco with applesauce, nuts and raisins."", ""Sift dry ingredients and add."", ""Mix well."", ""Put in a greased and floured loaf pan or tube pan."", ""Bake in loaf pan at 350\u00b0 to 375\u00b0 for 45 to 60 minutes, layer pan at 375\u00b0 for 20 minutes or tube pan at 325\u00b0 for 1 hour.""]","[""sugar"", ""shortening"", ""cinnamon"", ""soda"", ""applesauce"", ""raisins"", ""flour"", ""nuts""]"
